PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Marques Bolden,CLE,21,1,0,1,2.8,114.3,57.1,57.1,0.0,0.00,0.0,0.0,50.0,33.3,0.0,0.0,0.0,0.0,119.29,30.8,2019
Mason Plumlee,DEN,30,53,35,18,17.0,107.2,106.4,0.8,19.8,1.74,24.6,9.2,19.9,14.5,14.1,61.7,61.5,17.6,101.57,12.2,2019
Meyers Leonard,MIA,28,49,34,15,20.1,111.1,105.5,5.6,7.6,1.51,16.6,2.9,21.7,12.7,10.9,63.5,64.0,12.0,97.87,8.7,2019
Mfiondu Kabengele,LAC,22,12,9,3,5.4,104.4,103.6,0.8,5.0,1.00,5.3,1.7,15.9,8.9,5.3,57.8,61.4,24.2,101.34,11.2,2019
Mike Muscala,OKC,28,41,23,18,12.0,102.3,104.9,-2.6,10.4,2.43,15.7,2.6,16.1,9.3,6.5,53.8,56.0,15.8,104.53,8.2,2019
Mitchell Robinson,NYK,22,61,20,41,23.2,106.1,109.1,-2.9,3.9,0.97,7.5,12.2,16.0,14.1,7.7,74.2,72.6,12.9,100.69,12.9,2019
Mo Bamba,ORL,21,60,28,32,14.5,104.7,103.0,1.8,7.7,1.00,10.9,9.9,21.7,15.6,10.9,53.4,54.9,16.4,99.67,11.7,2019
Montrezl Harrell,LAC,26,63,44,19,27.8,112.3,105.8,6.5,10.2,0.99,9.2,8.9,14.1,11.6,9.3,58.0,60.7,24.5,104.73,14.5,2019
Moritz Wagner,WAS,22,37,14,23,19.1,109.6,111.1,-1.5,10.3,0.89,13.3,6.8,20.3,13.3,14.9,62.5,66.6,18.1,107.61,10.0,2019
Moses Brown,POR,20,9,4,5,3.6,90.8,141.7,-50.9,4.8,0.33,5.6,7.3,32.4,18.7,16.7,40.0,40.7,20.0,108.15,3.2,2019
Myles Turner,IND,24,55,32,23,29.6,107.1,106.2,0.9,5.4,0.90,8.6,4.3,17.1,10.8,9.6,52.5,56.1,17.4,98.41,9.6,2019
Naz Reid,MIN,20,30,8,22,16.5,108.4,107.6,0.7,10.6,1.59,10.9,6.0,17.6,11.5,6.8,47.7,50.5,23.4,105.60,8.5,2019
Nerlens Noel,OKC,25,55,35,20,18.4,107.5,105.7,1.8,8.1,0.98,13.1,8.3,17.6,13.1,13.3,68.7,71.4,15.2,99.90,13.2,2019
Nicolas Claxton,BKN,20,15,5,10,12.5,94.1,109.7,-15.6,14.2,1.78,19.5,9.0,11.2,10.1,11.0,57.3,57.7,14.4,105.20,9.2,2019
Nikola Jokic,DEN,25,65,43,22,32.3,112.9,107.7,5.2,34.3,2.21,25.7,7.5,24.4,16.0,11.6,56.5,60.4,26.7,96.88,18.2,2019
Nikola Vucevic,ORL,29,54,25,29,32.6,109.4,109.8,-0.4,18.6,2.62,16.1,7.1,27.0,16.7,6.2,51.5,54.0,25.6,99.73,14.9,2019
Robert Williams III,BOS,22,23,15,8,14.0,109.7,108.6,1.2,9.7,1.10,19.1,10.2,21.4,15.9,17.4,67.7,67.1,12.2,101.63,12.5,2019
Robin Lopez,MIL,32,60,49,11,14.4,105.0,102.4,2.6,6.8,0.76,10.6,5.6,9.1,7.4,14.0,56.2,56.5,16.0,106.21,6.6,2019
Rudy Gobert,UTA,27,62,40,22,34.6,113.0,106.8,6.1,6.5,0.78,10.5,10.4,27.9,19.7,13.6,69.8,70.0,16.1,99.22,15.1,2019
Skal Labissiere,ATL,24,33,14,19,17.2,107.8,106.5,1.3,10.6,1.40,17.9,10.5,15.5,13.1,12.8,56.1,58.8,13.9,103.40,9.3,2019
Steven Adams,OKC,26,58,37,21,27.0,111.5,107.1,4.4,13.2,1.64,18.8,13.0,21.1,17.2,11.5,59.3,60.5,16.6,100.65,13.7,2019
Tacko Fall,BOS,24,6,5,1,4.0,103.6,90.9,12.7,0.0,0.00,0.0,0.0,36.7,22.0,18.8,75.0,71.3,28.1,109.38,20.0,2019
Thomas Bryant,WAS,22,38,14,24,23.7,110.6,117.6,-7.0,11.2,1.48,15.2,8.1,20.2,14.1,10.3,63.5,65.9,18.0,105.07,12.2,2019
Thon Maker,DET,23,60,20,40,12.9,103.8,111.9,-8.0,8.8,0.96,13.0,6.9,15.2,11.0,13.6,53.9,58.2,16.0,98.52,7.6,2019
Tony Bradley,UTA,22,50,33,17,10.7,110.1,106.8,3.3,4.6,0.74,8.0,16.0,22.0,19.0,10.8,66.8,67.5,15.0,103.28,12.1,2019
Tristan Thompson,CLE,29,57,19,38,30.2,105.0,115.2,-10.1,10.6,1.17,14.0,12.6,20.7,16.5,12.0,52.0,54.0,18.1,99.12,10.8,2019
Tyson Chandler,HOU,37,26,15,11,8.4,109.7,104.1,5.7,3.7,0.75,15.8,9.7,17.2,13.3,21.1,77.8,71.7,5.7,107.95,6.1,2019
Vincent Poirier,BOS,26,21,18,3,5.4,104.3,108.1,-3.8,8.4,1.17,14.3,8.7,18.0,13.7,12.2,50.0,54.0,14.7,108.55,7.0,2019
Wendell Carter Jr.,CHI,20,43,15,28,29.2,104.8,105.3,-0.5,6.2,0.71,9.5,10.2,21.6,15.6,13.4,54.2,59.0,16.2,100.79,10.3,2019
Willie Cauley-Stein,DAL,26,54,16,38,20.3,102.2,107.7,-5.5,9.8,1.75,15.9,7.2,20.2,13.6,9.1,57.9,58.9,14.4,100.68,11.3,2019
