PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Furkan Korkmaz,PHI,22,64,38,26,21.8,108.4,105.5,2.9,7.3,1.35,10.5,1.1,9.0,5.1,7.8,55.4,57.1,17.8,102.07,7.7,2019
Garrett Temple,BKN,33,55,26,29,28.1,104.2,105.7,-1.6,13.5,2.47,18.8,1.6,9.1,5.4,7.6,48.5,50.7,16.1,102.82,7.6,2019
Gary Clark,ORL,25,35,20,15,12.1,105.8,107.4,-1.6,5.0,3.00,12.0,5.5,12.4,8.9,4.0,51.5,53.4,10.3,104.30,6.5,2019
Gary Trent Jr.,POR,21,53,23,30,20.0,108.8,113.2,-4.4,6.7,2.63,11.5,1.7,5.8,3.8,4.4,53.7,55.5,15.1,102.11,6.6,2019
Georges Niang,UTA,26,58,38,20,13.3,105.9,107.2,-1.2,6.6,1.35,10.4,1.5,11.9,6.7,7.7,59.8,61.2,16.2,102.12,8.6,2019
Giannis Antetokounmpo,MIL,25,57,48,9,30.9,112.6,96.5,16.1,33.0,1.57,17.2,6.9,30.5,19.4,10.9,58.3,60.8,36.2,107.43,23.9,2019
Glenn Robinson III,PHI,26,60,17,43,29.1,106.3,114.2,-7.9,8.3,1.81,12.6,4.2,10.4,7.3,7.0,55.0,57.6,16.0,101.43,8.4,2019
Goga Bitadze,IND,20,49,29,20,8.4,101.6,104.1,-2.6,7.1,0.84,11.0,5.3,15.5,10.8,13.1,49.6,53.0,17.3,104.88,7.5,2019
Gordon Hayward,BOS,30,45,29,16,33.4,113.0,104.9,8.0,18.0,2.34,20.1,2.9,15.6,9.4,8.6,56.3,59.3,20.4,101.80,13.3,2019
Grant Williams,BOS,21,62,43,19,15.6,109.8,102.4,7.4,8.4,1.35,19.3,5.6,10.3,7.9,14.3,47.1,50.8,11.0,102.48,3.9,2019
Harrison Barnes,SAC,27,64,28,36,34.9,109.1,110.3,-1.2,9.8,1.90,14.5,2.7,10.8,6.7,7.6,52.4,57.5,17.2,100.69,9.0,2019
Harry Giles III,SAC,21,38,19,19,15.2,106.6,114.3,-7.7,12.8,1.40,15.8,5.8,24.4,14.7,11.3,56.0,58.6,19.7,101.20,10.3,2019
Henry Ellenson,BKN,23,5,2,3,3.0,81.6,54.3,27.3,12.5,0.00,12.5,11.1,19.0,15.4,0.0,14.3,14.3,15.9,115.90,4.1,2019
Ignas Brazdeikis,NYK,21,9,1,8,5.9,109.7,116.8,-7.1,11.4,2.00,13.3,3.6,6.8,5.1,6.7,29.5,35.1,21.8,94.65,1.8,2019
Isaiah Hartenstein,HOU,21,23,16,7,11.6,113.3,104.6,8.7,9.5,1.13,16.1,10.7,20.0,15.6,14.3,65.7,67.4,14.4,105.37,11.8,2019
Isaiah Roby,OKC,22,3,2,1,3.8,88.5,100.0,-11.5,0.0,0.00,0.0,0.0,16.7,8.0,50.0,0.0,0.0,7.1,111.58,-2.0,2019
JaKarr Sampson,IND,27,26,15,11,13.1,108.0,106.0,2.1,3.3,1.29,8.6,4.6,12.7,8.8,6.7,60.5,60.7,12.0,101.72,6.5,2019
JaMychal Green,LAC,29,55,38,17,20.5,110.5,105.2,5.3,5.1,0.96,10.5,6.1,21.0,13.8,11.0,53.6,55.4,12.9,105.16,8.2,2019
JaVale McGee,LAL,32,61,48,13,16.8,113.6,104.7,8.9,4.4,0.72,8.7,11.0,21.6,16.6,12.0,64.5,65.5,14.6,101.95,11.6,2019
Jabari Parker,SAC,25,33,7,26,25.8,108.4,116.1,-7.7,10.8,1.00,10.9,6.1,16.9,11.3,10.9,53.8,56.1,23.4,104.68,10.8,2019
Jacob Evans,MIN,22,29,8,21,14.4,99.0,110.0,-11.0,12.0,1.24,15.2,1.9,7.7,4.6,12.3,38.4,43.6,16.7,103.95,3.3,2019
Jae Crowder,MIA,29,58,26,32,29.2,108.9,112.5,-3.7,12.0,2.44,19.5,2.7,17.1,9.9,8.0,49.4,53.2,15.3,103.46,8.7,2019
Jahlil Okafor,NOP,24,28,9,19,15.1,104.3,116.0,-11.8,13.0,1.00,15.0,9.7,16.4,13.0,15.0,61.5,63.1,19.3,103.71,10.5,2019
Jake Layman,MIN,26,23,11,12,22.0,106.6,104.6,2.0,4.1,0.63,6.5,3.0,7.5,5.2,10.4,52.0,54.4,16.5,109.70,5.9,2019
Jalen McDaniels,CHA,22,16,7,9,18.3,105.3,108.8,-3.6,6.9,1.18,12.9,5.0,17.2,11.0,10.9,53.6,57.4,13.1,96.06,7.5,2019
James Ennis III,ORL,29,61,39,22,17.3,109.8,109.8,0.0,6.8,1.26,12.7,5.6,13.1,9.3,10.1,51.5,55.7,14.4,102.56,6.7,2019
James Johnson,MIN,33,32,14,18,19.4,109.1,113.8,-4.6,17.7,1.54,20.7,3.8,14.5,9.0,13.4,55.6,57.2,18.6,105.48,8.6,2019
Jared Dudley,LAL,34,40,29,11,7.8,100.0,97.5,2.5,8.6,3.17,25.0,1.6,11.3,6.7,7.9,56.0,57.0,8.0,99.23,5.6,2019
Jaren Jackson Jr.,MEM,20,54,28,26,28.0,108.4,111.5,-3.1,7.6,0.81,8.0,3.4,12.4,7.9,9.9,56.4,59.0,23.7,104.34,8.8,2019
Jarred Vanderbilt,MIN,21,11,6,5,4.2,90.5,113.9,-23.4,5.7,0.29,11.1,6.5,14.3,10.2,38.9,62.5,67.6,13.3,109.85,4.9,2019
Jarrell Brantley,UTA,23,5,2,3,2.7,83.9,81.3,2.6,10.0,0.50,33.3,0.0,31.3,16.7,66.7,0.0,0.0,5.7,112.58,6.6,2019
Jarrett Culver,MIN,21,63,19,44,23.9,106.0,109.3,-3.3,10.5,1.36,13.5,4.1,9.2,6.5,10.0,46.2,46.7,18.7,105.22,5.5,2019
Jarrod Uthoff,MEM,26,4,3,1,3.4,120.7,96.3,24.4,0.0,0.00,0.0,7.1,0.0,4.0,0.0,14.3,25.4,20.5,97.75,-3.1,2019
Javonte Green,BOS,26,44,30,14,9.4,105.1,105.1,-0.1,7.6,1.28,14.7,4.4,13.5,9.2,11.5,53.1,55.8,13.3,103.43,8.3,2019
Jaxson Hayes,NOP,19,56,26,30,17.0,107.7,109.8,-2.1,7.7,1.24,12.7,8.1,13.7,10.9,10.2,66.2,67.5,14.8,107.79,9.5,2019
Jaylen Brown,BOS,23,50,33,17,34.0,113.4,106.9,6.5,10.0,0.94,10.0,3.1,14.8,9.0,10.6,55.9,58.9,24.5,99.67,11.4,2019
Jaylen Hoard,POR,21,13,7,6,7.9,112.1,109.1,3.0,5.4,1.00,8.9,11.1,15.8,13.3,8.9,46.9,50.4,15.3,103.22,8.8,2019
Jayson Tatum,BOS,22,59,41,18,34.6,113.8,103.5,10.3,13.8,1.32,11.3,2.6,16.8,9.7,8.6,52.3,56.2,27.9,100.59,14.3,2019
Jeff Green,HOU,33,40,24,16,18.9,105.7,108.3,-2.7,6.5,0.89,8.8,3.0,11.2,7.2,9.9,53.6,57.5,18.5,102.68,8.3,2019
Jerami Grant,DEN,26,64,42,22,26.2,109.1,111.2,-2.1,6.9,1.44,10.3,3.2,10.2,6.7,7.2,55.0,58.5,17.6,98.96,8.3,2019
Jeremy Lamb,IND,27,46,27,19,28.1,108.9,109.8,-0.9,10.7,1.92,14.2,1.9,13.5,7.9,7.4,50.6,54.7,19.5,99.33,9.5,2019
