Position,index,PIE,YEAR,AGE,PLAYER,FP,MIN,PTS,FGM,FGA,DREB,TOV,REB,FTA,FTM,AST,OREB,GP,3PA,OFFRTG,TS%,AST%,REB%,FG%,AST/TO,NETRTG,Salary,PlayerGrade
Forward,4452,10.9,2012,26,Amir Johnson,27,28.7,10,4.1,7.5,4.7,1.4,7.5,2.3,1.7,1.5,2.8,81,0.2,107.6,59.1,8.5,13.7,55.4,1.04,5.4,6000000,topPayer
Forward,4687,9.6,2011,25,Amir Johnson,19.9,24.3,7.1,3.1,5.3,4,1.5,6.4,1.3,0.9,1.2,2.3,64,0.1,101.2,60,8.5,13.5,57.6,0.84,0.6,5500000,good
Forward,2958,5.3,2018,36,Channing Frye,6.7,9.5,3.6,1.2,3.3,1.3,0.4,1.4,0.4,0.3,0.6,0.1,36,2.2,99.1,52.4,10,7.5,36.8,1.54,-22.7,2393887,aboveAvergae
Forward,4244,8.2,2013,31,Channing Frye,22.4,28.2,11.1,4.1,9.5,4.2,1.1,5.1,1.2,1,1.2,0.9,82,5.3,111.2,55.5,6.1,9.1,43.2,1.1,6.4,6400000,topPayer
Forward,4717,9.2,2011,29,Channing Frye,24,26.1,10.5,4,9.6,4.8,1,5.9,1.3,1.1,1.4,1.1,64,4.1,109.1,51.9,7.7,11.6,41.6,1.4,5.1,5600000,topPayer
Forward,4950,8.5,2010,28,Channing Frye,26.5,33,12.7,4.6,10.8,5.8,0.9,6.7,1.4,1.2,1.2,0.8,77,5.7,109.8,55.7,5.6,10.4,43.2,1.32,2.1,5200000,good
Forward,3509,17.8,2016,26,DeMarcus Cousins,51.4,34.2,27,9,19.9,8.9,3.7,11,9.3,7.2,4.6,2.1,72,5,108.6,56.2,26.2,16.7,45.2,1.23,-0.9,15756438,topPayer
Forward,3764,15.6,2015,25,DeMarcus Cousins,50.7,34.6,26.9,9.2,20.5,9.1,3.8,11.5,10.2,7.3,3.3,2.4,65,3.2,106.3,53.8,16.7,16.2,45.1,0.86,1.3,14728844,topPayer
Forward,2980,14.2,2018,27,Derrick Favors,27.7,23.2,11.8,4.8,8.1,4.6,1.1,7.4,3,2,1.2,2.7,76,1,106.3,62.4,7.9,15.2,58.6,1.06,4.6,16900000,topPayer
Forward,3244,11.9,2017,26,Derrick Favors,27,28,12.3,5.1,9.1,4.6,1.1,7.2,2.8,1.8,1.3,2.6,77,0.8,106.2,59.3,7.5,13.3,56.3,1.16,3.6,12000000,topPayer
Forward,3511,10.8,2016,25,Derrick Favors,22.4,23.7,9.5,4.1,8.3,4.3,1.2,6.1,2.2,1.3,1.1,1.8,50,0.2,104.2,51.2,7.9,13.5,48.7,0.93,2.6,11050000,topPayer
Forward,3766,14,2015,24,Derrick Favors,34.7,32,16.4,6.7,13.1,5.4,1.7,8.1,4.1,2.9,1.5,2.7,62,0.1,105.6,55.1,8.6,13.4,51.5,0.9,2.3,12000000,topPayer
Forward,4268,11.8,2013,22,Derrick Favors,31.4,30.2,13.3,5.3,10.2,6,1.8,8.7,3.9,2.6,1.2,2.7,73,0,102.6,55.6,7.2,15.1,52.2,0.71,-8.2,6008106,topPayer
Forward,4507,11.6,2012,21,Derrick Favors,25.4,23.2,9.4,3.6,7.4,4.7,1.7,7.1,3.4,2.3,1,2.4,77,0.1,102.5,53.3,7.1,15.5,48.2,0.58,0.1,4753320,good
