PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Derrick Walton Jr.,DET,25,26,15,11,9.6,103.7,104.6,-0.9,15.5,5.40,36.0,0.7,5.4,3.0,6.7,59.0,61.7,7.9,103.71,5.8,2019
Derrick White,SAS,25,61,27,34,24.1,109.1,109.4,-0.3,19.9,2.75,25.2,2.0,10.4,6.2,9.2,52.0,58.5,17.5,103.13,9.8,2019
Devin Booker,PHX,23,62,26,36,36.1,113.7,112.5,1.2,29.0,1.67,20.8,1.2,10.3,5.7,12.5,54.3,61.7,28.9,102.47,13.5,2019
Devon Hall,OKC,24,5,3,2,3.9,134.9,88.4,46.5,17.6,3.00,27.3,0.0,4.3,2.5,9.1,20.0,37.0,16.7,104.58,2.7,2019
Devonte' Graham,CHA,25,63,23,40,35.1,107.4,111.8,-4.5,34.5,2.60,27.5,1.8,7.8,4.7,10.6,49.5,53.7,24.3,97.32,10.9,2019
Dillon Brooks,MEM,24,65,32,33,28.5,108.6,108.9,-0.3,10.0,1.19,10.4,3.1,7.5,5.4,8.8,47.4,50.8,24.5,103.35,6.0,2019
Dion Waiters,LAL,28,3,1,2,14.0,115.7,102.2,13.5,12.5,1.00,9.4,0.0,20.8,11.6,9.4,53.8,53.0,29.6,101.55,10.7,2019
Donovan Mitchell,UTA,23,63,40,23,34.4,111.5,109.0,2.5,21.0,1.58,14.8,2.1,10.2,6.3,9.3,51.7,56.0,30.5,100.32,12.6,2019
Donte DiVincenzo,MIL,23,59,51,8,23.1,112.5,98.5,13.9,13.2,1.89,19.5,4.1,14.3,9.5,10.3,54.6,57.0,16.5,106.70,10.9,2019
Dusty Hannahs,MEM,26,2,0,2,6.7,144.8,127.6,17.2,0.0,0.00,0.0,0.0,6.3,3.2,0.0,55.6,60.7,28.6,103.62,8.0,2019
